                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.38773,                0.49818,                0.88144,                0.93635,                0.99527,                0.97131,                0.82429,                 0.6984,                0.52727,                 0.9973,             0.00030792,             0.00030792,             0.00030792
                    110,                0.44143,                0.51328,                0.88992,                0.93794,                0.99782,                0.97131,                0.82259,                0.68631,                0.51372,                0.98809,             0.00030635,             0.00030635,             0.00030635
                    111,                0.42845,                0.51914,                0.91318,                0.97234,                 0.9768,                0.97238,                0.81721,                0.70924,                0.47148,                0.99565,             0.00030478,             0.00030478,             0.00030478
                    112,                0.43146,                0.51977,                0.89909,                0.95901,                  0.975,                0.99024,                0.82046,                0.75159,                0.45283,                 1.0158,             0.00030321,             0.00030321,             0.00030321
                    113,                0.40522,                0.51587,                0.88265,                0.96585,                0.99787,                0.99262,                0.82932,                 0.7739,                0.45881,                 1.0348,             0.00030164,             0.00030164,             0.00030164
                    114,                0.42324,                 0.5109,                0.89835,                0.99172,                0.97668,                  0.995,                0.69641,                 1.0809,                0.55919,                 1.2528,             0.00030007,             0.00030007,             0.00030007
                    115,                0.40635,                0.47067,                0.89049,                0.99559,                0.97767,                  0.995,                0.58699,                 1.5273,                0.59937,                  1.678,              0.0002985,              0.0002985,              0.0002985
                    116,                 0.3964,                0.49895,                0.88287,                0.98902,                0.97487,                  0.995,                0.59132,                 1.5525,                0.61176,                 1.7149,             0.00029693,             0.00029693,             0.00029693
                    117,                0.38704,                0.47093,                0.89596,                0.99346,                0.96634,                  0.995,                0.58335,                 1.5879,                0.69618,                 1.7257,             0.00029536,             0.00029536,             0.00029536
                    118,                0.40684,                 0.4723,                0.89883,                0.99407,                0.96807,                  0.995,                 0.5656,                 1.6267,                0.77744,                 1.7323,             0.00029379,             0.00029379,             0.00029379
                    119,                0.44392,                0.50879,                0.91199,                0.98048,                0.97662,                  0.995,                0.60357,                 1.4402,                0.75899,                 1.5557,             0.00029222,             0.00029222,             0.00029222
                    120,                 0.3966,                0.44716,                0.89128,                0.99067,                0.97649,                  0.995,                0.66446,                 1.2773,                0.62395,                 1.4381,             0.00029065,             0.00029065,             0.00029065
                    121,                0.37881,                0.46057,                 0.8878,                0.95584,                0.99756,                  0.995,                0.68563,                 1.2155,                0.58285,                 1.3583,             0.00028907,             0.00028907,             0.00028907
                    122,                0.38237,                0.46851,                0.87742,                0.97007,                  0.975,                0.99381,                0.73681,                 1.0198,                0.60225,                 1.1933,              0.0002875,              0.0002875,              0.0002875
                    123,                0.40872,                0.50377,                0.90855,                0.96794,                  0.975,                0.99024,                0.72804,                 1.0299,                0.62018,                 1.2116,             0.00028593,             0.00028593,             0.00028593
                    124,                0.39804,                0.44914,                0.90388,                 0.9641,                  0.975,                0.98558,                0.66563,                 1.1742,                0.71175,                 1.3412,             0.00028436,             0.00028436,             0.00028436
                    125,                0.39579,                0.44951,                 0.8941,                0.95198,                0.97247,                0.99024,                0.66633,                 1.2133,                0.75423,                 1.4105,             0.00028279,             0.00028279,             0.00028279
                    126,                0.36748,                0.42313,                0.87203,                  0.936,                0.97546,                0.99024,                0.68471,                 1.1651,                0.76313,                 1.3546,             0.00028122,             0.00028122,             0.00028122
                    127,                 0.3804,                0.46104,                0.87401,                0.93591,                0.97425,                  0.995,                0.72322,                 1.0731,                0.68042,                 1.2574,             0.00027965,             0.00027965,             0.00027965
                    128,                0.40663,                0.43353,                0.89276,                0.93589,                 0.9741,                  0.995,                0.77913,                0.93726,                0.61449,                 1.1413,             0.00027808,             0.00027808,             0.00027808
                    129,                0.36499,                0.42635,                0.86954,                0.93607,                0.98484,                0.99381,                0.78037,                 0.9474,                0.57296,                 1.1496,             0.00027651,             0.00027651,             0.00027651
